"dam_ID","dam_name","dam_height","storage","file","permit","water_right","river","basin","county","wm_district","wm_region","meridian","township","township_char","range","range_char","sctn","latitude","longitude","last_inspection","next_inspection","hazard","download_date"
"OR00383","Cob Creek Dam",29,128,"C-21","R-2863","Cert:37022 OR *","Visher & Cob Creeks, Trib South Fork Malheur",10,"MALH",10,"E REGION","WM",25,"S",37,"E",5,43.4343605,-118.20410156,"10/08/2014",2020,"Low","5/20/2017"
"OR00384","LORENCE LAKE",25,160,"L-19",,"Cert:31502 OR *","Drift Creek, Trib to",2,"MARI",16,"NW REGION","WM",7,"S",1,"W",23,44.95064163,-122.7651596,"07/20/2016",2019,"Significant","5/20/2017"
"OR00387","STAR LAKE",53,290,"S-110",,"Cert:58668 OR *","Lick Creek",15,"JACK",13,"SW REGION","WM",35,"S",2,"E",32,42.48917007,-122.61538696,"07/05/2016",2022,"Low","5/20/2017"
"OR00389","Marx Reservoir #1",27,85,"M-70","R-3152","Cert:36793 OR *","Mud Slough-McMahon Branch",2,"POLK",16,"NW REGION","WM",7,"S",4,"W",4,44.99330139,-123.18811798,"07/25/2012",2018,"Low","5/20/2017"
"OR00390","WILLOW CREEK 3 (MALHEUR)",110,49000,"W-6",,"Cert:66956 OR *","Willow Creek",10,"MALH",9,"E REGION","WM",14,"S",41,"E",15,44.35308074,-117.67150115,"06/14/2016",2017,"High","5/20/2017"
"OR00391","BUFFALO LAKE DAM",20,280,"B-74",,"Cert:44467 OR *","Hall Creek",12,"GRAN",10,"E REGION","WM",18,"S",31,"E",26,43.97549819,-118.95915985,"10/11/2016",2022,"Low","5/20/2017"
"OR00392","BARNES BROS. RESERVOIR",32,100,"B-54",,"Cert:33954 OR *","Beaver Creek, Trib to",2,"MARI",16,"NW REGION","WM",7,"S",1,"W",15,44.95801925,-122.80004119,"10/23/2014",2017,"Significant","5/20/2017"
"OR00393","Crater Lake",31,230,"C-73","R-3215","Cert:64261 OR *","Run-Off from Watershed",9,"BAKE",8,"E REGION","WM",6,"S",44,"E",12,45.058609,-117.27362823,"10/21/2010",2016,"Low","5/20/2017"
"OR00394","KAY LAKE",33,50,"C-57",,"Cert:40607 OR *","McKay Creek, Trib to",2,"WASH",18,"NW REGION","WM",2,"N",2,"W",7,45.66614913,-122.9879074,"12/07/2016",2017,"High","5/20/2017"
"OR00395","LAKE CREEK DAM",77,1360,"L-24",,"Cert:56186 OR *","Lake Creek",15,"JACK",13,"SW REGION","WM",37,"S",2,"E",6,42.37558,-122.624594,"06/07/2016",2017,"High","5/20/2017"
"OR00396","Pettit Reservoir",24,290,"P-43","R-3247","Cert:33302 OR *","Brush Creek",2,"MARI",16,"NW REGION","WM",7,"S",1,"W",3,44.99169921,-122.79923248,"09/21/2015",2018,"Significant","5/20/2017"
"OR00397","Merwin Reservoir #2",48,174,"M-77","R-3258","Cert:48788 OR *","Watson Creek",5,"CROO",11,"SC REGION","WM",16,"S",22,"E",32,44.13840103,-120.11731719,"06/09/2014",2020,"Low","5/20/2017"
"OR00398","Paiute Reservoir",21,650,"P-64","R-3289","Cert:35224 OR *","Foley Creek",12,"HARN",10,"E REGION","WM",22,"S",31,"E",31,43.6210289,-119.0413208,"03/27/2015",2021,"Low","5/20/2017"
"OR00399","Zoglmann Reservoir",27.7,3000,"Z-6","R-3291","Cert:39669 OR *","Gumboot Canyon",12,"HARN",10,"E REGION","WM",23,"S",27,"E",2,43.60654067,-119.45893859,"07/20/2009",2015,"Low","5/20/2017"
"OR00400","SAMS VALLEY RESERVOIR",60,1200,"S-39",,"Cert:35844 OR *","East Fork Sams, West Fork Sams, & Minera",15,"JACK",13,"SW REGION","WM",35,"S",2,"W",18,42.52774047,-122.9895935,"10/10/2016",2017,"High","5/20/2017"
"OR00401","OSBORNE CREEK DAM",60,775,"O-15",,"Cert:56184 OR *","Osborne Creek",15,"JACK",13,"SW REGION","WM",36,"S",1,"E",25,42.4155693,-122.65412139,"06/07/2016",2017,"High","5/20/2017"
"OR00402","Smith Reservoir",19,920,"S-56",,,"Dobe, Pine, L.Pine, Rat Creek",14,"KLAM",17,"SC REGION","WM",40,"S",14,"E",16,42.1033287,-121.19252014,"09/24/2003",2009,"Low","5/20/2017"
"OR00403","BAUER RESERVOIR",15,77,"B-86",,"Cert:34821 OR *","Beaver Creek, Trib to",2,"WASH",18,"NW REGION","WM",2,"N",5,"W",11,45.67515182,-123.27783966,"12/22/2016",2016,"Low","5/20/2017"
"OR00405","EMPIRE LAKE, LOWER",10,192,"E-8",,"Cert:80053 OR *","Chickness Creek, Trib to",17,"COOS",19,"SW REGION","WM",25,"S",13,"W",17,43.39648056,-124.26306152,"09/30/2015",2021,"Low","5/20/2017"
"OR00406","BALM CREEK RESERVOIR",65,3550,"B-1",,"Cert:55505 OR *","Balm Creek - Balm Creek & Union Sp",9,"BAKE",8,"E REGION","WM",7,"S",43,"E",7,44.96987915,-117.49099731,"05/15/2017",2020,"Significant","5/20/2017"
"OR00407","WALLER NO. 3",64,510,"W-58B",,"Cert:39269 OR *","Rudio Creek",6,"GRAN",4,"NC REGION","WM",9,"S",26,"E",36,44.74349975,-119.53684997,"10/12/2016",2022,"Low","5/20/2017"
"OR00408","CALDERWOOD RESERVOIR",12,1477,"C-78",,,"Fish Creek",13,"LAKE",12,"SC REGION","WM",38,"S",25,"E",27,42.24782943,-119.76644134,"NSI","NSI","Low","5/20/2017"
"OR00409","DIXONVILLE LOG POND",30,1163,"LP-7",,"Cert:35730 OR *","Livingston Creek and Deer Creek",16,"DOUG",15,"SW REGION","WM",27,"S",4,"W",18,43.21334838,-123.21566009,"10/10/2012",2015,"Significant","5/20/2017"
"OR00412","RUCKMANS RESERVOIR",20,76,"R-37",,"Cert:40820 OR *","Grande Ronde River",8,"UNIO",6,"E REGION","WM",1,"S",39,"E",33,45.43181991,-117.93609619,"10/05/2012",2018,"Low","5/20/2017"
"OR00413","Squaw Creek ID Reservoir",18,600,"S-103","R-3902","Permit: R  3902 *","Squaw Creek",5,"DESC",11,"SC REGION","WM",15,"S",10,"E",14,44.26821899,-121.49845123,"04/28/2014",2020,"Low","5/20/2017"
"OR00414","LIPPERT RESERVOIR 2 (UPPER)",30,365,"L-13A",,"Cert:42082 OR *","Powell & Meeting Creeks",15,"JOSE",14,"SW REGION","WM",38,"S",5,"W",11,42.27341079,-123.26492309,"06/17/2013",2019,"Low","5/20/2017"
"OR00415","CROFT RESERVOIR",43,137,"C-59",,"Cert:36433 OR *","Gibson Gulch",2,"POLK",16,"NW REGION","WM",7,"S",4,"W",13,44.96363067,-123.11544036,"05/19/2016",2017,"High","5/20/2017"
"OR00417","S-M-S No. 1",30,57,"S-30","R-3978","Cert:35881 OR *","Pudding River, Trib to",2,"MARI",16,"NW REGION","WM",8,"S",1,"W",2,44.90885925,-122.77601623,"02/13/2013",2019,"Low","5/20/2017"
"OR00418","Fishhawk Lake",35,1650,"F-23","R-3982","Cert:38688 OR *",,1,"CLAT",1,"NW REGION","WM",6,"N",6,"W",1,46.03189086,-123.3680191,"02/12/2015",2018,"Significant","5/20/2017"
"OR00419","Grindstone Reservoir",34,427,"G-33","R-4129","Cert:50591 OR *","Grindstone Creek",5,"CROO",11,"SC REGION","WM",18,"S",25,"E",33,43.97328186,-119.71853637,"06/20/2012",2018,"Low","5/20/2017"
"OR00420","OXBOW DAM (KLAMATH)",22,309,"O-20",,,"Barnes Creek, Trib to",14,"KLAM",17,"SC REGION","WM",39,"S",15,"E",26,42.15449905,-120.90212249,"07/08/2011",2017,"Low","5/20/2017"
"OR00421","VANDERZANDEN RESERVOIR",19,84,"V-12",,"Cert:43527 OR *","McKay Creek",2,"WASH",18,"NW REGION","WM",1,"N",2,"W",20,45.56332015,-122.9689331,"12/16/2014",2020,"Low","5/20/2017"
"OR00422","Agate Dam",77,5450,"A-18","R-4563","Cert:79912 OR *","Dry Creek, Antelope Creek & Other",15,"JACK",13,"SW REGION","WM",36,"S",1,"W",25,42.41495132,-122.77494812,"NSI","NSI","High","5/20/2017"
"OR00423","Marks Lake Dam",20,80,"M-90","R-4575","Cert:42291 OR *","Marks Creek",5,"CROO",11,"SC REGION","WM",13,"S",19,"E",3,44.46543121,-120.42939758,"05/28/2014",2020,"Low","5/20/2017"
"OR00424","Campbell, John Reservoir",23,310,"C-84","R-4577","Cert:39436 OR *","Silvies River, Trib to",12,"HARN",10,"E REGION","WM",24,"S",30,"E",26,43.46540069,-119.0907135,"03/27/2015",2021,"Low","5/20/2017"
"OR00425","Clemens Reservoir",35,450,"C-85","R-4578","Cert:35628 OR *","Yellowjacket Creek",12,"HARN",10,"E REGION","WM",19,"S",29,"E",32,43.87683868,-119.26841735,"04/02/2015",2021,"Low","5/20/2017"
"OR00426","PIERSON-UPPER",31,18,"P-53",,"Cert:35690 OR *","Tualatin River, Trib to",2,"WASH",18,"NW REGION","WM",1,"S",3,"W",28,45.45642852,-123.06060791,"03/17/2015",2018,"Significant","5/20/2017"
"OR00427","TALL TIMBER LAKE",28,29,"T-34",,"Cert:38450 OR *","Salt Gulch Creek",15,"JOSE",14,"SW REGION","WM",38,"S",7,"W",7,42.27814865,-123.58077239,"02/04/2013",2019,"Low","5/20/2017"
"OR00428","Randall Reservoir",38,725,"R-18","R-4613","Cert:50384 OR *","Lost River, Trib to",14,"KLAM",17,"SC REGION","WM",39,"S",12,"E",23,42.16434097,-121.2549591,"11/05/2010",2016,"Low","5/20/2017"
"OR00429","BRADSHAW 2",20,60,"B-83",,"Cert:33515 OR *","Fork of Lake Creek",15,"JACK",13,"SW REGION","WM",37,"S",2,"E",6,42.3748703,-122.63452148,"11/03/2016",2019,"Significant","5/20/2017"
"OR00430","PEARSON RESERVOIR",64,50,"P-59",,"Cert:43867 OR *","Christensen Creek, Trib to",2,"WASH",18,"NW REGION","WM",1,"S",3,"W",35,45.435009,-123.02793121,"01/29/2013",2019,"Low","5/20/2017"
"OR00433","KAUER RESERVOIR",35,160,"K-30",,"Cert:40063 OR *","South Yamhill River, Trib to",2,"YAMH",16,"NW REGION","WM",4,"S",4,"W",34,45.17858886,-123.1603775,"02/23/2016",2022,"Low","5/20/2017"
"OR00434","RIVER BEND NO. 2",30,50,"P-41",,"Cert:40582 OR *","Willamette River, Trib to",2,"MARI",16,"NW REGION","WM",9,"S",3,"W",5,44.81605148,-123.09034729,"05/10/2016",2022,"Low","5/20/2017"
"OR00435","COTTONWOOD (DREWSEY)",73,4500,"C-30",,"Cert:79376 OR *","Cottonwood Creek",10,"HARN",10,"E REGION","WM",19,"S",36,"E",9,43.92758941,-118.30075073,"10/06/2014",2017,"Significant","5/20/2017"
"OR00436","Osburn Reservoir",34,52,"O-23","R-4701","Cert:46803 OR *","Trout Creek, Trib to",3,"MULT",20,"NW REGION","WM",1,"S",5,"E",18,45.48374176,-122.24376678,"11/17/2011",2017,"Low","5/20/2017"
"OR00437","FERRY CREEK",65,167,"F-25",,"Cert:46860 OR *","Ferry Creek",17,"CURR",19,"SW REGION","WM",40,"S",13,"W",32,42.07373809,-124.27144622,"10/04/2016",2017,"High","5/20/2017"
"OR00438","Collins Dam (Wheeler)",33,255,"C-66","R-4726","Cert:50645 OR *","Fry Creek",6,"WHEE",4,"NC REGION","WM",12,"S",23,"E",28,44.50191879,-119.97589874,"12/04/2008",2014,"Low","5/20/2017"
"OR00439","Simpson Reservoir (Jackson)",26,90,"S-85","R-4730","Cert:45289 OR *","Ramsey Canyon",15,"JACK",13,"SW REGION","WM",35,"S",2,"W",5,42.5594902,-122.97022247,"12/12/2008",2014,"Low","5/20/2017"
"OR00440","GRAHAM",32,220,"S-60",,"Cert:39007 OR *","Dilley Creek",2,"WASH",18,"NW REGION","WM",1,"S",4,"W",11,45.49161911,-123.13600158,"11/10/2016",2022,"Low","5/20/2017"
"OR00441","KINNAN, FRANK RESERVOIR",45,395,"K-23",,"Cert:51764 OR *","Middle Fork Coquille River",17,"DOUG",19,"SW REGION","WM",29,"S",8,"W",6,43.07341003,-123.68315124,"10/30/2014",2017,"Significant","5/20/2017"
"OR00442","BRADSHAW",47,785,"B-24",,"Cert:91822 CF *;Cert:68738 RR *","Lost Creek, Harrison Creek and",15,"JACK",13,"SW REGION","WM",37,"S",1,"E",1,42.37947082,-122.6550064,"11/03/2016",2019,"Significant","5/20/2017"
"OR00443","PLAT I RESERVOIR",28,2760,"P-38",,"Cert:76598 OR *","Sutherlin Creek",16,"DOUG",15,"SW REGION","WM",25,"S",5,"W",14,43.39345169,-123.25440979,"10/20/2016",2017,"High","5/20/2017"
"OR00444","ROHDE RESERVOIR",17,146,"R-27",,"Cert:39288 OR *","Ash Swale, Trib to",2,"POLK",16,"NW REGION","WM",6,"S",4,"W",29,45.02318954,-123.20184326,"03/14/2014",2020,"Low","5/20/2017"
"OR00445","PONS LAKE RESERVOIR",20,785,"P-55",,"Permit: R  4806 *","Bridge Creek& Cottonwood Creek",12,"GRAN",10,"E REGION","WM",18,"S",32,"E",6,44.04301834,-118.9327774,"10/11/2016",2022,"Low","5/20/2017"
"OR00446","Cyrus Reservoir",17,113,"C-79","R-12074","Cert:89872 OR *","Squaw Creek",5,"DESC",11,"SC REGION","WM",15,"S",10,"E",13,44.26950073,-121.48412322,"04/28/2014",2020,"Low","5/20/2017"
"OR00447","WEAVER RESERVOIR",22,55,"W-59",,"Cert:42647 OR *","Yoncalla Creek (offstream)",16,"DOUG",15,"SW REGION","WM",23,"S",5,"W",28,43.54182052,-123.30065917,"11/04/2009",2015,"Low","5/20/2017"
"OR00448","MT. SPRINGS RANCH DAM",40,95,"M-52",,"Cert:87340 CF *","Gooseneck Creek",2,"POLK",16,"NW REGION","WM",6,"S",7,"W",35,45.00088119,-123.51159667,"05/24/2016",2019,"Significant","5/20/2017"
"OR00449","Bear Creek (Astoria)",90,800,"B-47","R-4842","Cert:82234 OR *","Bear Creek",1,"CLAT",1,"NW REGION","WM",7,"N",8,"W",2,46.11788177,-123.63986968,"01/12/2016",2016,"High","5/20/2017"
"OR00450","SESTER, WILLIAM H.  RESERVOIR 1",32,55,"S-38",,"Cert:91544 CF *","Beaver Creek, Trib to",3,"MULT",20,"NW REGION","WM",1,"S",4,"E",16,45.48022842,-122.31771087,"10/06/2016",2019,"Significant","5/20/2017"
"OR00451","CLEAR BRANCH CREEK DAM",109,4000,"C-60",,"Cert:89356 CR *;Cert:89356 CR *","Clear Branch",4,"HOOD",3,"NC REGION","WM",1,"S",9,"E",22,45.46001052,-121.65786743,"NSI","NSI","High","5/20/2017"
"OR00452","Mainline 1",57,500,"M-58","R-4871","Cert:52348 OR *","Maury Creek",5,"CROO",11,"SC REGION","WM",17,"S",21,"E",10,44.10575103,-120.20469665,"09/14/2015",2018,"Significant","5/20/2017"
"OR00453","Jubilee Lake Dam",50,1579,"J-16","R-4874","Cert:40153 OR *","Mottet Creek",8,"UNIO",6,"E REGION","WM",4,"N",39,"E",17,45.82685852,-117.95948791,"07/24/2012",2018,"Low","5/20/2017"
"OR00454","Bates Reservoir",26,100,"B-67","R-988","Cert:21576 OR *","John Day, Middle Fork",6,"GRAN",4,"NC REGION","WM",11,"S",35,"E",21,44.59019851,-118.51349639,"05/09/2013",2019,"Low","5/20/2017"
"OR00455","Helms Reservoir",25,120,"H-52","R-4875","Cert:37449 OR *","South Santiam River, Trib to",2,"LINN",2,"NW REGION","WM",10,"S",2,"W",17,44.69408035,-122.95762634,"05/11/2012",2018,"Low","5/20/2017"
"OR00456","Lind Reservoir",18,112,"L-31","R-4913","Cert:38606 OR *","McKay Creek, Trib to",2,"WASH",18,"NW REGION","WM",2,"N",3,"W",36,45.60712114,-123.0099665,"02/20/2014",2017,"Significant","5/20/2017"
"OR00457","BIG MILLER LAKE",20,134,"M-8",,"Cert:40542 OR *","Miller Creek",15,"JOSE",13,"SW REGION","WM",40,"S",5,"W",28,42.06529998,-123.30269622,"08/05/2010",2016,"Low","5/20/2017"
"OR00458","Officer Reservoir",34,400,"O-16","R-4933","Cert:42495 OR *","Utley Creek",6,"GRAN",4,"NC REGION","WM",18,"S",28,"E",20,43.990139,-119.39031982,"05/07/2013",2019,"Low","5/20/2017"
"OR00459","FROG POND #1",22,60,"F-30",,"Cert:56179 OR *","Lost Creek, Harrison Creek, and ot",15,"JACK",13,"SW REGION","WM",37,"S",1,"E",1,42.37680816,-122.65393066,"11/03/2016",2019,"Significant","5/20/2017"
"OR00460","HARRISON",26,500,"H-47",,"Cert:56180 OR *","Lost Creek, Harrison Creek, and ot",15,"JACK",13,"SW REGION","WM",37,"S",1,"E",1,42.37535858,-122.65107727,"11/03/2016",2019,"Significant","5/20/2017"
"OR00461","Unger-Bill Dam",39,97,"U-6",,,"Tualatin River, Trib to",2,"WASH",18,"NW REGION","WM",1,"S",3,"W",21,45.46891021,-123.05805969,"03/19/2015",2018,"Significant","5/20/2017"
"OR00462","SPADA RESERVOIR #1 (CHAMPOEG)",22,329,"S-73",,"Cert:83867 CF *","Champoeg Creek",2,"MARI",16,"NW REGION","WM",4,"S",2,"W",22,45.21207809,-122.90840911,"03/07/2013",2019,"Low","5/20/2017"
"OR00463","COOPER CREEK RESERVOIR",84,5200,"C-61",,"Cert:48586 OR *","Cooper Creek",16,"DOUG",15,"SW REGION","WM",25,"S",5,"W",22,43.37997817,-123.28209686,"10/20/2016",2017,"High","5/20/2017"
"OR00464","CROW CREEK RESERVOIR (WASCO)",113,1150,"C-62",,"Cert:44917 OR *","South Fork Mill Creek",4,"WASC",3,"NC REGION","WM",1,"S",11,"E",17,45.4755516,-121.45439147,"05/11/2016",2017,"High","5/20/2017"
"OR00465","WALLOWA LAKE DAM",39,49257,"W-2",,"Cert:87896 CF *","Wallowa River",8,"WALL",7,"E REGION","WM",3,"S",45,"E",5,45.33514022,-117.22263336,"08/15/2016",2017,"High","5/20/2017"
"OR00466","WIRTH RESERVOIR",36,59,"W-44",,"Cert:42464 OR *","Big Creek",9,"BAKE",8,"E REGION","WM",7,"S",41,"E",1,44.98815917,-117.64485168,"04/26/2017",2023,"Low","5/20/2017"
"OR00468","WERNER (UPPER)",28,60,"W-26A",,"Cert:54497 OR *","Louse Creek, Trib to",15,"JOSE",14,"SW REGION","WM",35,"S",6,"W",28,42.50117874,-123.4171524,"04/20/2014",2018,"Low","5/20/2017"
"OR00469","Hunter Reservoir (Harney)",40,1400,"H-18","R-5065","Cert:48240 OR *","Little Crane Creek",10,"HARN",10,"E REGION","WM",24,"S",35,"E",27,43.46242141,-118.41110992,"10/15/2013",2016,"Significant","5/20/2017"
"OR00470","OLALLA DAM",83,4300,"O-10",,"Cert:66643 OR *","West Ollalla Creek",18,"LINC",1,"NW REGION","WM",10,"S",10,"W",20,44.6809616,-123.93034362,"07/22/2016",2017,"High","5/20/2017"
"OR00471","Faye Canyon Reservoir",13,380,"F-17","R-5115","Cert:39769 OR *","Fay Canyon",12,"HARN",10,"E REGION","WM",25,"S",29,"E",20,43.3852806,-119.2737503,"06/24/2010",2016,"Low","5/20/2017"
"OR00472","MILL CREEK DAM (TOLEDO)",70,250,"M-9",,"Cert:42193 OR *","Mill Creek",18,"LINC",1,"NW REGION","WM",11,"S",10,"W",33,44.5736885,-123.90953063,"07/22/2016",2017,"High","5/20/2017"
"OR00473","BIG CREEK RESERVOIR #2 (UPPER)",56,1190,"B-28B",,"Cert:48627 OR *","Big Creek",18,"LINC",1,"NW REGION","WM",10,"S",11,"W",33,44.65737915,-124.03150177,"07/22/2016",2017,"High","5/20/2017"
"OR00475","DUGGAN DAM",23,50,"D-48",,"Cert:42925 OR *","Snider Creek (offstream)",15,"JACK",13,"SW REGION","WM",35,"S",2,"W",33,42.47750854,-122.94769287,"10/05/2016",2017,"High","5/20/2017"
"OR00476","BEYER RESERVOIR",36,280,"B-50",,"Cert:45248 OR *","Beaver Creek",2,"CLAC",16,"NW REGION","WM",6,"S",2,"E",22,45.03469085,-122.55654907,"07/08/2014",2017,"Significant","5/20/2017"
"OR00477","STRINGER RESERVOIR",26,135,"S-94",,"Cert:39580 OR *","Holdridge Creek",2,"YAMH",16,"NW REGION","WM",5,"S",3,"W",7,45.14429855,-123.10487365,"10/24/2014",2019,"Low","5/20/2017"
"OR00478","KREDER RESERVOIR",22,162,"K-35",,"Cert:41740 OR *","Luckimute River, Trib to",2,"POLK",16,"NW REGION","WM",9,"S",4,"W",21,44.77695083,-123.18596649,"08/22/2012",2018,"Low","5/20/2017"
"OR00479","Schmidt, Howard Reservoir",35,34,"S-112","R-5245","Cert:91668 OR *","East Fork McKay Creek, Trib to",2,"WASH",18,"NW REGION","WM",2,"N",2,"W",4,45.69094848,-122.93778228,"11/14/2013",2018,"Low","5/20/2017"
"OR00480","PINE HOLLOW RESERVOIR",65,5300,"P-39",,"Cert:51484 OR *","Badger Creek & Pine Hollow Creek",5,"WASC",3,"NC REGION","WM",4,"S",12,"E",10,45.24272918,-121.2906723,"05/11/2016",2017,"High","5/20/2017"
"OR00481","OCONNOR PUDDLE",12,94,"O-22",,"Cert:85821 CR *","Reservoir Creek",14,"KLAM",17,"SC REGION","WM",35,"S",14,"E",7,42.54996109,-121.09757232,"08/03/2016",2022,"Low","5/20/2017"
"OR00482","BAILEY RESERVOIR (AKA KALSCH)",12,50,"B-85",,"Cert:38750 OR *","Tualitin River, Trib to",2,"WASH",18,"NW REGION","WM",1,"S",3,"W",13,45.49053955,-122.99559783,"03/10/2016",2022,"Low","5/20/2017"
"OR00483","MOON RESERVOIR",38,5650,"S-28",,"Permit: R  5266 *","Silver Creek",12,"HARN",10,"E REGION","WM",25,"S",28,"E",17,43.40623092,-119.39803314,"07/15/2014",2017,"Significant","5/20/2017"
"OR00484","MCKAY ACRES DAM",15,510,"M-57",,"Cert:40121 OR *","Champoeg",2,"MARI",16,"NW REGION","WM",4,"S",2,"W",27,45.19984817,-122.91934967,"03/16/2016",2022,"Low","5/20/2017"
"OR00486","MARTIN BROS. FLASHBOARD DAM",10,71,"M-68",,"Cert:45207 OR *","Ash Swale, Trib to",2,"POLK",16,"NW REGION","WM",6,"S",4,"W",30,45.0234909,-123.21595001,"12/15/2010",2016,"Low","5/20/2017"
"OR00487","Morrow Brothers (Jefferson)",23,170,"W-67","R-5356","Cert:43261 OR *","Willow Creek",5,"JEFF",11,"SC REGION","WM",12,"S",15,"E",19,44.50592041,-120.96898651,"07/29/2015",2018,"Low","5/20/2017"
"OR00489","Teasel Creek",21,90,"T-38","R-5377","Cert:44147 OR *","Teasel Creek",2,"CLAC",16,"NW REGION","WM",5,"S",2,"E",29,45.10663986,-122.58152008,"01/16/2014",2020,"Significant","5/20/2017"
"OR00490","FIDEL BROS. IRR. RESERVOIR",20,100,"F-34",,"Cert:91786 CF *","Salt Creek",2,"YAMH",16,"NW REGION","WM",2,"S",4,"W",31,45.35580825,-123.21929168,"11/12/2015",2021,"Low","5/20/2017"
"OR00491","Updegrave",30,172,"U-8","R-5405","Cert:38067 OR *","North Umpqua River, Trib to",16,"DOUG",15,"SW REGION","WM",26,"S",4,"W",24,43.29438018,-123.12213134,"10/20/2016",2017,"High","5/20/2017"
"OR00492","Rogers - Joseph Reservoir",31,40,"R-23","R-10509","Cert:63318 OR *","Unnamed",2,"CLAC",16,"NW REGION","WM",3,"S",1,"W",31,45.26583099,-122.85668945,"03/12/2015",2018,"Significant","5/20/2017"
"OR00493","Mainline 3",37,350,"M-60","R-5409","Cert:52350 OR *","Cemetery Creek",5,"CROO",11,"SC REGION","WM",17,"S",21,"E",15,44.09210968,-120.19557189,"08/26/2014",2017,"Significant","5/20/2017"
"OR00495","Walters, Glenn #1 - Large",25,250,"W-61","R-5416","Cert:43717 OR *","Tualatin River, Trib to",2,"WASH",18,"NW REGION","WM",1,"S",3,"W",21,45.47505187,-123.0560913,"12/15/2010",2016,"Significant","5/20/2017"
"OR00496","WAGEMAN",40,70,"W-79",,"Cert:46151 OR *","Ten Mile Creek, Trib to",16,"DOUG",15,"SW REGION","WM",28,"S",8,"W",25,43.10406112,-123.59004974,"04/20/2016",2017,"High","5/20/2017"
"OR00497","Deardorff, Betty Jane",65,1300,"D-54","R-5437","Cert:41501 OR *","Little Coal Creek",2,"CLAC",16,"NW REGION","WM",6,"S",2,"E",34,45.00004959,-122.55033111,"06/18/2014",2017,"Significant","5/20/2017"
"OR00498","South Fork Reservoir",28,625,"S-15","R-5438","Cert:39771 OR *","South Fork Malheur River",10,"HARN",10,"E REGION","WM",27,"S",36,"E",7,43.23426055,-118.33255004,"09/22/2011",2020,"Significant","5/20/2017"
"OR00499","LOSTINE RESERVOIR",14,540,"L-30",,"Cert:50404 OR *","Lostine River",8,"WALL",7,"E REGION","WM",1,"S",43,"E",34,45.43703079,-117.42529296,"07/26/2011",2017,"Low","5/20/2017"
"OR00500","MOMPANO RESERVOIR",39,780,"M-53",,"Cert:42471 OR *","Abernethy Creek",2,"CLAC",20,"NW REGION","WM",3,"S",2,"E",13,45.31455993,-122.50447845,"09/28/2016",2017,"High","5/20/2017"
"OR00501","PENLAND LAKE RESERVOIR",29,590,"P-40",,"Cert:45129 OR *","Mallory Creek",6,"MORR",4,"NC REGION","WM",5,"S",28,"E",22,45.11676025,-119.31733703,"10/05/2016",2022,"Low","5/20/2017"
"OR00503","PETERSON CREEK RESERVOIR",25,155,"P-22",,"Cert:81126 OR *","Peterson Creek",5,"CROO",11,"SC REGION","WM",14,"S",21,"E",12,44.36505889,-120.14607238,"10/27/2014",2019,"Low","5/20/2017"
"OR00504","CASE CREEK DAM 1",23,352,"C-65",,,"Case Creek",2,"MARI",16,"NW REGION","WM",4,"S",2,"W",24,45.20475006,-122.88526153,"10/23/2014",2019,"Low","5/20/2017"
"OR00506","SEVCIK LAKE",25,64,"S-93",,"Cert:43812 OR *","Parrott Creek",2,"CLAC",20,"NW REGION","WM",3,"S",1,"E",23,45.29978179,-122.65675354,"05/21/2012",2018,"Low","5/20/2017"
"OR00507","BAKER, ER (YAMHILL)",56,250,"B-49",,"Cert:57769 OR *","Chehalem Creek, Trib to",2,"YAMH",16,"NW REGION","WM",3,"S",3,"W",5,45.34463119,-123.08979797,"04/07/2016",2017,"High","5/20/2017"
"OR00508","PANTHER CREEK RESERVOIR",49,100,"P-46",,"Cert:85744 OR *","Panther Creek",2,"YAMH",16,"NW REGION","WM",3,"S",5,"W",18,45.30471038,-123.35009765,"03/11/2016",2019,"Significant","5/20/2017"
"OR00509","Mainline 2",36,55,"M-59","R-5534","Cert:52352 OR *","Sarvis Creek",5,"CROO",11,"SC REGION","WM",17,"S",21,"E",9,44.11054992,-120.21910858,"09/14/2015",2018,"Significant","5/20/2017"
"OR00510","Crowe Reservoir #2 (Polk)",24,110,"C-76","R-5536","Cert:47643 OR *","Yamhill Reservoir, Trib to",2,"POLK",16,"NW REGION","WM",6,"S",6,"W",14,45.05733871,-123.39511108,"06/01/2012",2018,"Low","5/20/2017"
"OR00511","FARNAM CREEK RESERVOIR",25,132,"F-39",,"Cert:44510 OR *","Farnam Creek",18,"LANE",2,"NW REGION","WM",20,"S",5,"W",11,43.84418106,-123.25006866,"05/26/2016",2019,"Significant","5/20/2017"
"OR00512","CLARK LAKE",15,89,"C-80",,"Cert:42571 OR *","Lake Creek",6,"WHEE",21,"NC REGION","WM",8,"S",23,"E",9,44.89086914,-119.97788238,"05/07/2013",2019,"Low","5/20/2017"
"OR00513","MCMULLEN CREEK DAM",45,2000,"M-46",,"Cert:39889 OR *","McMullen Creek",15,"JOSE",14,"SW REGION","WM",38,"S",7,"W",18,42.26544189,-123.57923126,"04/03/2017",2017,"High","5/20/2017"
"OR00514","MCGUIRE RESERVOIR",111,9790,"M-43",,"Cert:86306 OR *","Nestucca River",1,"YAMH",16,"NW REGION","WM",3,"S",6,"W",15,45.3092308,-123.40865325,"07/18/2016",2017,"High","5/20/2017"
